s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol
Time,PT-RW-Ba-U,PT-RW-Ba-L,PT-RW-Fr-U,PT-RW-Fr-L,PT-RW-Ce,TC-RW-Ba-U,TC-RW-Ba-L,TC-RW-Fr-U,TC-RW-Fr-L,TC-RW-Ce,TC-RW-25-U,TC-RW-50-U,TC-RW-75-U,TC-RW-25-L,TC-RW-50-L,TC-RW-75-L,PT-LW-Ba-U,PT-LW-Ba-L,PT-LW-Fr-U,PT-LW-Fr-L,PT-LW-Ce,PT-C-Ba-L,PT-C-Ba-R,PT-C-Fr-L,PT-C-Fr-R,PT-C-Ce,PT-F-Ba-L,PT-F-Ba-R,PT-F-Fr-L,PT-F-Fr-R,PT-BW-U,PT-BW-M,PT-BW-L,PT-FW-Le-U,PT-FW-Ri-U,PT-FW-Le-L,PT-FW-Ri-L,TC-Door-1490,TC-Door-1350,TC-Door-1200,TC-Door-1050,TC-Door-0900,TC-Door-0600,TC-Door-0300,TC-Door-0010,O2-Door-100,O2-Door-200,O2-Door-400,O2-Door-800
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.076E-01, 2.076E-01, 2.076E-01, 2.076E-01
 1.501E+01, 2.034E+01, 2.035E+01, 2.032E+01, 2.031E+01, 2.085E+01, 2.258E+01, 2.323E+01, 2.219E+01, 2.206E+01, 2.706E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.034E+01, 2.034E+01, 2.029E+01, 2.032E+01, 2.100E+01, 2.309E+01, 2.286E+01, 2.268E+01, 2.254E+01, 2.518E+01, 2.024E+01, 2.023E+01, 2.023E+01, 2.022E+01, 2.031E+01, 2.034E+01, 2.020E+01, 2.238E+01, 2.209E+01, 2.191E+01, 2.171E+01, 2.009E+01, 2.010E+01, 2.011E+01, 2.012E+01, 2.014E+01, 2.014E+01, 2.013E+01, 2.006E+01, 2.076E-01, 2.076E-01, 2.076E-01, 2.076E-01
 3.004E+01, 2.308E+01, 2.299E+01, 2.302E+01, 2.276E+01, 2.689E+01, 3.134E+01, 3.169E+01, 2.968E+01, 2.787E+01, 4.615E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.313E+01, 2.301E+01, 2.294E+01, 2.281E+01, 2.732E+01, 3.497E+01, 3.360E+01, 3.359E+01, 3.441E+01, 7.438E+01, 2.227E+01, 2.218E+01, 2.217E+01, 2.208E+01, 2.252E+01, 2.262E+01, 2.192E+01, 2.876E+01, 2.772E+01, 2.730E+01, 2.671E+01, 2.074E+01, 2.098E+01, 2.090E+01, 2.092E+01, 2.100E+01, 2.104E+01, 2.088E+01, 2.051E+01, 2.075E-01, 2.067E-01, 2.071E-01, 2.076E-01
 4.501E+01, 2.765E+01, 2.649E+01, 2.766E+01, 2.596E+01, 3.450E+01, 4.291E+01, 4.068E+01, 3.985E+01, 3.464E+01, 6.636E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.820E+01, 2.663E+01, 2.794E+01, 2.609E+01, 3.603E+01, 4.888E+01, 4.784E+01, 4.759E+01, 4.751E+01, 1.324E+02, 2.526E+01, 2.504E+01, 2.487E+01, 2.468E+01, 2.623E+01, 2.594E+01, 2.435E+01, 3.849E+01, 3.616E+01, 3.415E+01, 3.272E+01, 2.431E+01, 2.650E+01, 2.586E+01, 2.293E+01, 2.208E+01, 2.207E+01, 2.176E+01, 2.118E+01, 2.042E-01, 2.035E-01, 2.046E-01, 2.076E-01
 6.001E+01, 3.708E+01, 3.271E+01, 3.710E+01, 3.221E+01, 5.037E+01, 7.120E+01, 5.688E+01, 6.317E+01, 4.851E+01, 1.055E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 3.731E+01, 3.282E+01, 3.784E+01, 3.235E+01, 5.175E+01, 7.555E+01, 7.247E+01, 7.955E+01, 7.635E+01, 3.002E+02, 3.082E+01, 3.050E+01, 3.067E+01, 3.038E+01, 3.364E+01, 3.210E+01, 2.916E+01, 6.106E+01, 5.862E+01, 4.795E+01, 4.615E+01, 4.263E+01, 5.909E+01, 5.038E+01, 3.712E+01, 2.979E+01, 2.395E+01, 2.336E+01, 2.270E+01, 1.971E-01, 1.970E-01, 2.023E-01, 2.076E-01
 7.503E+01, 5.378E+01, 4.075E+01, 5.522E+01, 4.033E+01, 7.163E+01, 1.102E+02, 7.051E+01, 9.926E+01, 6.051E+01, 1.373E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 5.205E+01, 4.083E+01, 5.353E+01, 4.044E+01, 7.151E+01, 1.028E+02, 1.088E+02, 1.078E+02, 1.161E+02, 4.612E+02, 3.887E+01, 3.863E+01, 3.898E+01, 3.884E+01, 4.575E+01, 4.132E+01, 3.625E+01, 8.731E+01, 9.055E+01, 5.969E+01, 5.953E+01, 9.822E+01, 1.121E+02, 8.577E+01, 6.316E+01, 4.742E+01, 2.671E+01, 2.561E+01, 2.571E+01, 1.865E-01, 1.878E-01, 1.962E-01, 2.075E-01
 9.003E+01, 7.658E+01, 4.911E+01, 7.797E+01, 4.853E+01, 9.234E+01, 1.487E+02, 8.155E+01, 1.314E+02, 7.021E+01, 1.612E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.001E+01, 2.000E+01, 2.000E+01, 7.231E+01, 4.912E+01, 7.277E+01, 4.850E+01, 9.136E+01, 1.418E+02, 1.513E+02, 1.505E+02, 1.502E+02, 5.383E+02, 4.828E+01, 4.800E+01, 4.827E+01, 4.831E+01, 6.268E+01, 5.379E+01, 4.388E+01, 1.191E+02, 1.225E+02, 7.171E+01, 6.980E+01, 1.741E+02, 1.795E+02, 1.598E+02, 1.138E+02, 5.928E+01, 3.022E+01, 2.845E+01, 2.969E+01, 1.745E-01, 1.745E-01, 1.829E-01, 2.075E-01
 1.050E+02, 1.037E+02, 5.785E+01, 1.020E+02, 5.702E+01, 1.119E+02, 1.864E+02, 9.434E+01, 1.675E+02, 8.156E+01, 1.828E+02, 2.001E+01, 2.000E+01, 2.000E+01, 2.001E+01, 2.000E+01, 2.000E+01, 9.879E+01, 5.803E+01, 1.002E+02, 5.706E+01, 1.147E+02, 1.956E+02, 1.856E+02, 1.992E+02, 1.874E+02, 5.472E+02, 5.955E+01, 5.862E+01, 5.935E+01, 5.864E+01, 8.562E+01, 6.909E+01, 5.156E+01, 1.639E+02, 1.615E+02, 8.670E+01, 8.074E+01, 2.521E+02, 2.542E+02, 2.258E+02, 1.545E+02, 7.639E+01, 3.518E+01, 3.252E+01, 3.399E+01, 1.610E-01, 1.607E-01, 1.769E-01, 2.064E-01
 1.200E+02, 1.333E+02, 6.767E+01, 1.301E+02, 6.616E+01, 1.337E+02, 2.256E+02, 1.059E+02, 2.057E+02, 9.104E+01, 2.028E+02, 2.003E+01, 2.000E+01, 2.000E+01, 2.003E+01, 2.000E+01, 2.000E+01, 1.374E+02, 6.779E+01, 1.340E+02, 6.609E+01, 1.363E+02, 2.490E+02, 2.337E+02, 2.324E+02, 2.226E+02, 5.529E+02, 7.271E+01, 7.092E+01, 7.158E+01, 7.013E+01, 1.160E+02, 8.673E+01, 6.048E+01, 2.026E+02, 2.010E+02, 9.594E+01, 9.195E+01, 3.134E+02, 3.156E+02, 2.897E+02, 2.150E+02, 1.097E+02, 4.051E+01, 3.580E+01, 3.642E+01, 1.541E-01, 1.569E-01, 1.745E-01, 2.075E-01
