s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
Time,"PT-RW-Ba-U","PT-RW-Ba-L","PT-RW-Fr-U","PT-RW-Fr-L","PT-RW-Ce","TC-RW-Ba-U","TC-RW-Ba-L","TC-RW-Fr-U","TC-RW-Fr-L","TC-RW-Ce","PT-LW-Ba-U","PT-LW-Fr-U","PT-C-Ba-L","PT-C-Ba-R","PT-C-Fr-L","PT-C-Fr-R","PT-C-Ce","PT-F-Ba-R","PT-F-Fr-R","PT-BW-U","PT-BW-M","PT-BW-L","PT-FW-Le-U","PT-FW-Le-L","TC-Door-1490","TC-Door-1350","TC-Door-1200","TC-Door-1050","TC-Door-0900","TC-Door-0600","TC-Door-0300","TC-Door-0010","TC-Front-0010","TC-Front-0300","TC-Front-0600","TC-Front-0900","TC-Front-1200","TC-Front-1500","TC-Front-1790","TC-Back-0010","TC-Back-0300","TC-Back-0600","TC-Back-0900","TC-Back-1200","TC-Back-1500","TC-Back-1790","O2-Door-100","O2-Door-200","O2-Door-800","CO2-Door-100","CO2-Door-200","CO2-Door-800","CO-Door-100","CO-Door-200","CO-Door-800"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.076E-01, 2.076E-01, 2.076E-01, 3.864E-04, 3.864E-04, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+01, 2.061E+01, 2.056E+01, 2.062E+01, 2.059E+01, 2.147E+01, 3.413E+01, 3.384E+01, 3.253E+01, 3.137E+01, 5.091E+01, 2.063E+01, 2.061E+01, 3.363E+01, 3.182E+01, 3.419E+01, 3.372E+01, 8.248E+01, 2.042E+01, 2.048E+01, 2.049E+01, 2.053E+01, 2.039E+01, 3.285E+01, 3.103E+01, 2.036E+01, 2.041E+01, 2.047E+01, 2.050E+01, 2.051E+01, 2.048E+01, 2.039E+01, 2.024E+01, 2.097E+01, 2.159E+01, 2.269E+01, 2.278E+01, 2.222E+01, 2.160E+01, 2.124E+01, 2.089E+01, 2.157E+01, 2.250E+01, 2.240E+01, 2.194E+01, 2.140E+01, 2.102E+01, 2.076E-01, 2.076E-01, 2.076E-01, 3.864E-04, 3.864E-04, 3.864E-04, 0.000E+00, 0.000E+00, 0.000E+00
 3.002E+01, 4.420E+01, 3.472E+01, 5.638E+01, 3.765E+01, 5.979E+01, 2.667E+02, 1.708E+02, 3.136E+02, 1.772E+02, 3.196E+02, 4.445E+01, 5.420E+01, 2.269E+02, 2.298E+02, 3.964E+02, 4.116E+02, 7.306E+02, 3.598E+01, 4.026E+01, 4.061E+01, 3.870E+01, 3.411E+01, 2.973E+02, 1.804E+02, 1.081E+02, 1.317E+02, 8.993E+01, 6.427E+01, 4.558E+01, 3.285E+01, 3.060E+01, 3.387E+01, 5.208E+01, 4.957E+01, 6.223E+01, 7.822E+01, 9.901E+01, 1.805E+02, 7.215E+02, 4.607E+01, 4.721E+01, 5.530E+01, 6.144E+01, 6.592E+01, 7.311E+01, 4.439E+02, 1.786E-01, 1.785E-01, 2.046E-01, 1.626E-02, 1.632E-02, 2.030E-03, 0.000E+00, 0.000E+00, 0.000E+00
 4.505E+01, 1.521E+02, 7.760E+01, 2.203E+02, 9.553E+01, 1.536E+02, 5.847E+02, 3.374E+02, 6.867E+02, 3.847E+02, 5.272E+02, 1.345E+02, 1.798E+02, 4.889E+02, 5.832E+02, 6.592E+02, 7.330E+02, 7.156E+02, 9.145E+01, 1.151E+02, 1.124E+02, 9.866E+01, 7.979E+01, 6.206E+02, 3.754E+02, 6.045E+02, 5.130E+02, 4.646E+02, 3.274E+02, 2.562E+02, 8.198E+01, 6.124E+01, 9.463E+01, 1.538E+02, 1.160E+02, 1.430E+02, 3.351E+02, 5.229E+02, 8.300E+02, 9.496E+02, 1.273E+02, 1.091E+02, 1.283E+02, 2.000E+02, 2.871E+02, 4.173E+02, 7.264E+02, 1.258E-01, 1.114E-01, 2.028E-01, 4.518E-02, 5.309E-02, 2.985E-03, 0.000E+00, 0.000E+00, 0.000E+00
 6.001E+01, 3.476E+02, 1.493E+02, 4.155E+02, 1.720E+02, 2.743E+02, 7.544E+02, 4.668E+02, 7.284E+02, 4.628E+02, 6.000E+02, 2.889E+02, 3.406E+02, 7.406E+02, 7.613E+02, 7.611E+02, 7.610E+02, 8.041E+02, 1.812E+02, 2.112E+02, 2.672E+02, 2.128E+02, 1.512E+02, 7.156E+02, 4.695E+02, 8.573E+02, 7.842E+02, 5.829E+02, 4.464E+02, 3.688E+02, 1.268E+02, 1.069E+02, 1.231E+02, 2.278E+02, 1.923E+02, 2.371E+02, 4.062E+02, 5.616E+02, 9.985E+02, 1.018E+03, 2.055E+02, 1.806E+02, 2.829E+02, 5.793E+02, 7.341E+02, 9.206E+02, 1.000E+03, 8.525E-02, 8.989E-02, 2.007E-01, 6.732E-02, 6.486E-02, 4.126E-03, 0.000E+00, 0.000E+00, 0.000E+00
 7.503E+01, 5.396E+02, 2.528E+02, 6.066E+02, 2.733E+02, 4.076E+02, 8.121E+02, 5.716E+02, 8.543E+02, 5.738E+02, 6.861E+02, 4.962E+02, 5.557E+02, 7.900E+02, 8.224E+02, 8.587E+02, 8.649E+02, 8.764E+02, 3.004E+02, 3.299E+02, 4.783E+02, 3.773E+02, 2.493E+02, 8.475E+02, 5.848E+02, 9.408E+02, 8.902E+02, 7.254E+02, 6.944E+02, 5.531E+02, 1.889E+02, 1.282E+02, 1.332E+02, 2.555E+02, 2.742E+02, 3.759E+02, 6.112E+02, 7.375E+02, 1.007E+03, 1.091E+03, 2.747E+02, 2.892E+02, 4.395E+02, 7.064E+02, 7.992E+02, 8.645E+02, 1.021E+03, 2.867E-02, 4.825E-02, 2.023E-01, 9.803E-02, 8.753E-02, 3.256E-03, 0.000E+00, 0.000E+00, 0.000E+00
 9.003E+01, 6.946E+02, 3.671E+02, 7.363E+02, 3.827E+02, 5.243E+02, 8.437E+02, 6.367E+02, 8.845E+02, 6.373E+02, 7.304E+02, 6.605E+02, 7.305E+02, 8.573E+02, 8.503E+02, 9.254E+02, 8.931E+02, 9.178E+02, 4.257E+02, 4.460E+02, 6.389E+02, 4.991E+02, 3.619E+02, 9.051E+02, 6.476E+02, 1.038E+03, 9.343E+02, 7.533E+02, 6.810E+02, 5.562E+02, 2.194E+02, 1.471E+02, 1.477E+02, 2.538E+02, 3.262E+02, 4.223E+02, 6.734E+02, 8.700E+02, 1.064E+03, 1.120E+03, 3.778E+02, 3.837E+02, 4.377E+02, 5.973E+02, 8.042E+02, 8.848E+02, 1.054E+03, 6.974E-03, 4.919E-02, 2.051E-01, 1.083E-01, 8.690E-02, 1.726E-03, 0.000E+00, 0.000E+00, 0.000E+00
 1.050E+02, 7.681E+02, 4.710E+02, 8.574E+02, 4.954E+02, 6.216E+02, 8.609E+02, 6.727E+02, 9.607E+02, 6.978E+02, 7.744E+02, 7.569E+02, 8.491E+02, 8.414E+02, 8.435E+02, 9.563E+02, 9.765E+02, 9.105E+02, 5.313E+02, 5.587E+02, 7.281E+02, 5.806E+02, 4.690E+02, 9.533E+02, 7.070E+02, 1.117E+03, 1.067E+03, 8.037E+02, 6.775E+02, 4.748E+02, 2.578E+02, 1.753E+02, 1.706E+02, 2.942E+02, 4.436E+02, 5.240E+02, 6.499E+02, 9.708E+02, 1.152E+03, 1.087E+03, 4.481E+02, 4.225E+02, 4.491E+02, 6.253E+02, 8.246E+02, 9.015E+02, 9.656E+02, 1.656E-02, 4.406E-02, 2.068E-01, 1.026E-01, 8.968E-02, 8.131E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+02, 8.007E+02, 5.513E+02, 9.206E+02, 5.866E+02, 6.948E+02, 8.522E+02, 6.930E+02, 9.809E+02, 7.299E+02, 8.083E+02, 7.944E+02, 9.023E+02, 8.357E+02, 8.390E+02, 9.732E+02, 9.986E+02, 9.251E+02, 6.043E+02, 6.423E+02, 7.680E+02, 6.391E+02, 5.514E+02, 9.730E+02, 7.355E+02, 1.136E+03, 1.072E+03, 8.892E+02, 6.962E+02, 4.790E+02, 2.762E+02, 1.930E+02, 1.940E+02, 3.398E+02, 4.802E+02, 5.496E+02, 6.552E+02, 9.721E+02, 1.199E+03, 1.148E+03, 4.493E+02, 4.651E+02, 4.766E+02, 6.427E+02, 8.420E+02, 8.655E+02, 8.908E+02, 1.112E-02, 4.737E-02, 2.070E-01, 1.044E-01, 8.774E-02, 7.080E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.350E+02, 8.215E+02, 6.058E+02, 9.553E+02, 6.525E+02, 7.465E+02, 8.744E+02, 7.102E+02, 9.955E+02, 7.545E+02, 8.276E+02, 8.080E+02, 9.364E+02, 8.445E+02, 8.686E+02, 9.993E+02, 1.017E+03, 9.298E+02, 6.511E+02, 6.988E+02, 7.842E+02, 6.763E+02, 6.090E+02, 9.885E+02, 7.611E+02, 1.118E+03, 1.090E+03, 8.097E+02, 7.296E+02, 5.293E+02, 3.087E+02, 2.021E+02, 1.992E+02, 3.469E+02, 5.214E+02, 5.790E+02, 7.753E+02, 1.023E+03, 1.182E+03, 1.149E+03, 4.814E+02, 4.907E+02, 4.978E+02, 6.759E+02, 8.427E+02, 8.886E+02, 8.982E+02, 5.857E-03, 4.726E-02, 2.065E-01, 1.088E-01, 8.768E-02, 9.572E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+02, 8.446E+02, 6.521E+02, 9.819E+02, 7.084E+02, 7.818E+02, 8.802E+02, 7.406E+02, 1.016E+03, 7.983E+02, 8.485E+02, 8.282E+02, 9.662E+02, 8.621E+02, 8.838E+02, 1.023E+03, 1.029E+03, 9.344E+02, 6.909E+02, 7.455E+02, 8.033E+02, 7.122E+02, 6.565E+02, 1.018E+03, 8.049E+02, 1.070E+03, 1.170E+03, 8.650E+02, 7.613E+02, 6.290E+02, 3.570E+02, 2.201E+02, 2.152E+02, 3.694E+02, 5.494E+02, 6.171E+02, 8.957E+02, 1.123E+03, 1.202E+03, 1.098E+03, 5.358E+02, 5.170E+02, 5.261E+02, 7.401E+02, 8.516E+02, 8.814E+02, 9.015E+02, 2.687E-03, 3.590E-02, 2.060E-01, 1.097E-01, 9.310E-02, 1.253E-03, 0.000E+00, 0.000E+00, 0.000E+00
 1.650E+02, 8.541E+02, 6.926E+02, 9.951E+02, 7.588E+02, 8.180E+02, 8.908E+02, 7.636E+02, 1.019E+03, 8.195E+02, 8.779E+02, 8.547E+02, 1.014E+03, 8.855E+02, 8.795E+02, 1.044E+03, 1.008E+03, 9.387E+02, 7.237E+02, 7.863E+02, 8.234E+02, 7.489E+02, 6.963E+02, 1.055E+03, 8.332E+02, 1.055E+03, 1.103E+03, 1.012E+03, 7.306E+02, 5.959E+02, 3.522E+02, 2.349E+02, 2.280E+02, 3.944E+02, 5.713E+02, 6.446E+02, 1.059E+03, 1.153E+03, 1.086E+03, 1.061E+03, 5.262E+02, 5.404E+02, 5.578E+02, 8.625E+02, 8.912E+02, 9.085E+02, 9.142E+02, 5.860E-03, 3.369E-02, 2.067E-01, 1.098E-01, 9.411E-02, 8.421E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.800E+02, 8.586E+02, 7.153E+02, 9.980E+02, 7.792E+02, 8.383E+02, 8.764E+02, 7.553E+02, 1.016E+03, 8.124E+02, 8.775E+02, 8.623E+02, 1.003E+03, 8.790E+02, 8.704E+02, 1.003E+03, 1.018E+03, 9.289E+02, 7.412E+02, 8.002E+02, 8.387E+02, 7.695E+02, 7.175E+02, 1.029E+03, 8.243E+02, 1.022E+03, 1.123E+03, 9.437E+02, 6.990E+02, 5.638E+02, 3.127E+02, 2.234E+02, 2.135E+02, 3.616E+02, 5.494E+02, 6.301E+02, 9.979E+02, 1.161E+03, 1.101E+03, 1.048E+03, 5.451E+02, 5.445E+02, 5.578E+02, 8.256E+02, 8.836E+02, 9.011E+02, 9.094E+02, 1.108E-03, 1.311E-02, 2.064E-01, 1.098E-01, 1.034E-01, 1.045E-03, 0.000E+00, 0.000E+00, 0.000E+00
 1.950E+02, 8.521E+02, 7.171E+02, 1.008E+03, 7.838E+02, 8.353E+02, 8.748E+02, 7.415E+02, 1.042E+03, 8.119E+02, 8.548E+02, 8.456E+02, 9.735E+02, 8.500E+02, 8.638E+02, 9.875E+02, 1.044E+03, 9.237E+02, 7.407E+02, 8.033E+02, 8.312E+02, 7.626E+02, 7.206E+02, 1.018E+03, 8.173E+02, 1.052E+03, 1.147E+03, 1.074E+03, 7.276E+02, 6.320E+02, 3.539E+02, 2.245E+02, 2.227E+02, 3.648E+02, 5.552E+02, 6.595E+02, 1.134E+03, 1.132E+03, 1.143E+03, 1.113E+03, 5.299E+02, 5.199E+02, 5.244E+02, 8.528E+02, 8.561E+02, 8.738E+02, 9.060E+02, 2.243E-03, 7.996E-03, 2.062E-01, 1.108E-01, 1.065E-01, 1.119E-03, 0.000E+00, 0.000E+00, 0.000E+00
 2.100E+02, 8.554E+02, 7.201E+02, 1.021E+03, 7.972E+02, 8.327E+02, 8.785E+02, 7.503E+02, 1.039E+03, 8.260E+02, 8.578E+02, 8.350E+02, 9.816E+02, 8.477E+02, 8.753E+02, 9.995E+02, 1.035E+03, 9.249E+02, 7.439E+02, 8.156E+02, 8.232E+02, 7.635E+02, 7.241E+02, 1.027E+03, 8.291E+02, 1.118E+03, 1.133E+03, 1.131E+03, 8.232E+02, 5.688E+02, 3.482E+02, 2.361E+02, 2.345E+02, 3.834E+02, 5.485E+02, 6.461E+02, 1.172E+03, 1.105E+03, 1.141E+03, 1.093E+03, 5.533E+02, 5.078E+02, 5.246E+02, 8.655E+02, 8.502E+02, 8.722E+02, 8.932E+02, 5.307E-03, 1.776E-02, 2.065E-01, 1.093E-01, 1.025E-01, 9.424E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.250E+02, 8.536E+02, 7.247E+02, 9.942E+02, 7.950E+02, 8.300E+02, 8.651E+02, 7.457E+02, 9.898E+02, 8.021E+02, 8.447E+02, 8.358E+02, 9.806E+02, 8.457E+02, 8.604E+02, 9.872E+02, 9.904E+02, 9.097E+02, 7.452E+02, 8.096E+02, 8.227E+02, 7.669E+02, 7.267E+02, 1.012E+03, 8.138E+02, 1.063E+03, 1.090E+03, 9.846E+02, 6.950E+02, 5.819E+02, 3.472E+02, 2.241E+02, 2.267E+02, 3.677E+02, 4.914E+02, 6.289E+02, 1.048E+03, 1.125E+03, 1.060E+03, 1.018E+03, 5.553E+02, 5.230E+02, 5.516E+02, 8.317E+02, 8.459E+02, 8.841E+02, 8.929E+02, 4.302E-03, 2.811E-02, 2.065E-01, 1.107E-01, 9.729E-02, 9.828E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.400E+02, 8.397E+02, 7.182E+02, 9.665E+02, 7.834E+02, 8.190E+02, 8.452E+02, 7.318E+02, 9.851E+02, 7.980E+02, 8.383E+02, 8.246E+02, 9.800E+02, 8.300E+02, 8.383E+02, 1.017E+03, 9.890E+02, 9.107E+02, 7.345E+02, 7.945E+02, 8.147E+02, 7.570E+02, 7.186E+02, 1.033E+03, 8.101E+02, 1.070E+03, 1.136E+03, 9.641E+02, 7.632E+02, 6.155E+02, 3.285E+02, 2.187E+02, 2.235E+02, 3.543E+02, 5.511E+02, 6.561E+02, 1.075E+03, 1.146E+03, 1.128E+03, 1.095E+03, 4.989E+02, 5.055E+02, 5.177E+02, 7.326E+02, 8.296E+02, 8.510E+02, 8.668E+02, 1.845E-03, 2.269E-02, 2.068E-01, 1.116E-01, 1.002E-01, 7.868E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.550E+02, 8.376E+02, 7.171E+02, 9.898E+02, 7.894E+02, 8.250E+02, 8.665E+02, 7.404E+02, 1.013E+03, 8.111E+02, 8.575E+02, 8.239E+02, 9.916E+02, 8.539E+02, 8.579E+02, 9.995E+02, 1.008E+03, 9.266E+02, 7.340E+02, 8.027E+02, 8.121E+02, 7.528E+02, 7.193E+02, 1.029E+03, 8.215E+02, 1.115E+03, 1.146E+03, 1.010E+03, 7.272E+02, 6.188E+02, 3.821E+02, 2.326E+02, 2.347E+02, 3.737E+02, 5.568E+02, 6.810E+02, 1.182E+03, 1.103E+03, 1.100E+03, 1.081E+03, 5.103E+02, 5.034E+02, 5.148E+02, 8.180E+02, 8.392E+02, 8.692E+02, 9.096E+02, 3.572E-03, 3.058E-02, 2.067E-01, 1.104E-01, 9.627E-02, 8.398E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.700E+02, 8.485E+02, 7.225E+02, 9.948E+02, 7.936E+02, 8.281E+02, 8.693E+02, 7.480E+02, 1.017E+03, 8.115E+02, 8.526E+02, 8.329E+02, 9.856E+02, 8.604E+02, 8.742E+02, 9.857E+02, 1.012E+03, 9.179E+02, 7.412E+02, 8.059E+02, 8.279E+02, 7.667E+02, 7.251E+02, 1.020E+03, 8.192E+02, 1.040E+03, 1.084E+03, 1.046E+03, 7.281E+02, 5.619E+02, 3.089E+02, 2.253E+02, 2.326E+02, 3.694E+02, 5.370E+02, 6.545E+02, 1.044E+03, 1.055E+03, 1.077E+03, 1.024E+03, 5.184E+02, 5.245E+02, 5.515E+02, 8.353E+02, 8.639E+02, 9.170E+02, 9.205E+02, 4.176E-03, 2.969E-02, 2.060E-01, 1.103E-01, 9.712E-02, 1.214E-03, 0.000E+00, 0.000E+00, 0.000E+00
 2.850E+02, 8.478E+02, 7.260E+02, 9.832E+02, 7.934E+02, 8.264E+02, 8.574E+02, 7.436E+02, 9.927E+02, 8.044E+02, 8.511E+02, 8.398E+02, 9.803E+02, 8.461E+02, 8.547E+02, 9.771E+02, 9.961E+02, 8.991E+02, 7.446E+02, 8.044E+02, 8.323E+02, 7.712E+02, 7.279E+02, 1.014E+03, 8.123E+02, 1.057E+03, 1.103E+03, 9.704E+02, 6.886E+02, 5.908E+02, 3.015E+02, 2.247E+02, 2.240E+02, 3.698E+02, 5.214E+02, 6.578E+02, 1.079E+03, 1.194E+03, 1.083E+03, 1.046E+03, 5.128E+02, 5.231E+02, 5.429E+02, 7.941E+02, 8.561E+02, 8.725E+02, 8.786E+02, 6.444E-03, 2.630E-02, 2.049E-01, 1.087E-01, 9.868E-02, 1.861E-03, 0.000E+00, 0.000E+00, 0.000E+00
