s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m
-1.4963505E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
-9.9593066E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
-4.9993926E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.1377218E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0002602E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000219E+001, 9.0811154E+001, 1.7334419E+002, 2.7111356E+002, 3.7249817E+002, 4.0641165E+002, 3.5566399E+002, 3.5757254E+002, 1.7930422E+002, 2.9691709E+002, 5.7093618E+001, 3.0625370E+002, 7.2250237E+001, 2.4220200E+002, 2.8741278E+002, 3.0312264E+002, 8.0511320E+001, 6.0798196E+001, 1.5372151E+002, 3.8896946E+002, 1.5714568E+002, 7.1581550E+001, 1.8889512E+002, 6.7495139E+001, 8.4859137E+001, 1.9302969E+002, 2.1331452E+002, 2.7353849E+002, 2.3181916E+002, 1.6185617E+002, 1.9302969E+002, 2.7202660E+002, 1.5651719E+002, 4.0000962E+002, 3.8924747E+002, 4.3059050E+002, 3.8107483E+002, 3.6322047E+002, 3.5786156E+002, 3.4615760E+002, 3.5241700E+002, 6.4620469E+001, 2.3631820E+002, 3.5709604E+002, 1.3586966E+002, 2.4274859E+001, 3.7574644E+001, 4.1276731E+001, 3.8036272E+001, 4.1948204E+001, 2.3382720E+001, 2.3477857E+001, 1.6752818E+001, 1.3123571E+001, 0.0000000E+000
 1.5000266E+001, 1.0310770E+002, 1.6977273E+002, 2.6178820E+002, 3.5597500E+002, 3.9816609E+002, 3.7281793E+002, 3.1750567E+002, 1.5245669E+002, 2.9576919E+002, 1.1618416E+002, 2.8960002E+002, 7.2624659E+001, 1.7176332E+002, 2.6182338E+002, 3.2766255E+002, 1.8935527E+002, 1.3799083E+002, 1.9763450E+002, 3.2625696E+002, 1.6314077E+002, 7.1126360E+001, 2.5583016E+002, 1.1002731E+002, 2.5437367E+002, 1.2525244E+002, 2.4991027E+002, 2.8631582E+002, 2.7065558E+002, 2.3280576E+002, 1.2525244E+002, 3.2755277E+002, 1.9242839E+002, 4.0208553E+002, 4.8914357E+002, 4.4167705E+002, 4.7618837E+002, 4.0154423E+002, 4.0592914E+002, 4.1632839E+002, 3.5268392E+002, 1.2755811E+002, 2.5916826E+002, 4.0142574E+002, 1.8863999E+002, 2.9703318E+001, 4.4287064E+001, 4.8712456E+001, 4.2808405E+001, 4.6560617E+001, 2.7148678E+001, 2.7633559E+001, 1.9535983E+001, 1.4992265E+001, 3.2438139E+001
 2.0000243E+001, 9.6362739E+001, 1.6472703E+002, 2.6353333E+002, 3.5806675E+002, 4.0357038E+002, 3.8100192E+002, 3.2425690E+002, 1.5447574E+002, 2.9838568E+002, 1.1497613E+002, 2.8423151E+002, 7.2535506E+001, 1.6621673E+002, 2.5737610E+002, 3.2820974E+002, 1.9111454E+002, 1.3714474E+002, 1.8977359E+002, 3.1547685E+002, 1.5844540E+002, 7.0920552E+001, 2.5378169E+002, 1.1033449E+002, 2.4968270E+002, 1.2189548E+002, 2.4480418E+002, 2.8061712E+002, 2.6756926E+002, 2.3029990E+002, 1.2189548E+002, 3.2815962E+002, 1.8618928E+002, 3.9975305E+002, 4.9069013E+002, 4.4642228E+002, 4.7866384E+002, 3.9665714E+002, 4.0876738E+002, 4.1687203E+002, 3.5334817E+002, 1.2737621E+002, 2.6448666E+002, 4.0188299E+002, 1.8712250E+002, 2.9791445E+001, 4.4417619E+001, 4.8771674E+001, 4.3390924E+001, 4.7212117E+001, 2.7479091E+001, 2.7947767E+001, 1.9612039E+001, 1.4938001E+001, 3.2425243E+001
 2.5000038E+001, 9.3044276E+001, 1.5882527E+002, 2.5538815E+002, 3.5225272E+002, 4.0466008E+002, 3.8652403E+002, 3.3334176E+002, 1.6075640E+002, 2.9391993E+002, 1.1478007E+002, 2.8348749E+002, 7.0250160E+001, 1.5936944E+002, 2.4767052E+002, 3.2154076E+002, 1.9511484E+002, 1.3638430E+002, 1.8335989E+002, 3.0942629E+002, 1.5972292E+002, 7.0689797E+001, 2.4679145E+002, 1.0942296E+002, 2.4346945E+002, 1.1740978E+002, 2.3695145E+002, 2.7117569E+002, 2.6064753E+002, 2.2755674E+002, 1.1740978E+002, 3.2875215E+002, 1.8243335E+002, 3.8871260E+002, 4.9536802E+002, 4.5129656E+002, 4.8126184E+002, 3.9467479E+002, 4.0077387E+002, 4.1906715E+002, 3.5437045E+002, 1.2610013E+002, 2.6479559E+002, 4.0271875E+002, 1.8516591E+002, 2.9511672E+001, 4.4056179E+001, 4.8435956E+001, 4.3569336E+001, 4.7606967E+001, 2.7506780E+001, 2.8037436E+001, 1.9552001E+001, 1.4846359E+001, 3.2412189E+001
 3.0000000E+001, 9.5504482E+001, 1.6242163E+002, 2.6095792E+002, 3.5484789E+002, 4.0395635E+002, 3.8532976E+002, 3.3285884E+002, 1.5969359E+002, 2.9199558E+002, 1.1432675E+002, 2.7909325E+002, 7.0519230E+001, 1.6096227E+002, 2.4968640E+002, 3.1874308E+002, 1.9123627E+002, 1.3610726E+002, 1.8397701E+002, 3.0365839E+002, 1.5652836E+002, 6.9379983E+001, 2.4491315E+002, 1.0959736E+002, 2.3555644E+002, 1.1788563E+002, 2.3336183E+002, 2.6649243E+002, 2.5550876E+002, 2.2187316E+002, 1.1788563E+002, 3.2959720E+002, 1.8236524E+002, 3.8623386E+002, 4.9612753E+002, 4.5344409E+002, 4.8057646E+002, 3.8365143E+002, 3.9989804E+002, 4.1898149E+002, 3.5479373E+002, 1.2646174E+002, 2.6633086E+002, 4.0463505E+002, 1.8435103E+002, 2.9441639E+001, 4.3980283E+001, 4.8434106E+001, 4.3444461E+001, 4.7580203E+001, 2.7385409E+001, 2.7956796E+001, 1.9408635E+001, 1.4728781E+001, 3.2420297E+001
