s,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,kg/kg,kg/kg,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"O2Rear","CO2Rear","CORear","UHRear","TRSampPtRh","O2Front","CO2Front","COFront","UHFront","TFSampPtRh","TRSampA","TFSampA","YsootR","YsootF","HFRFL","HFFFL","HFOFL","HFRCE","HFCCE","HFFCE","TSHFRFL","TSHFFFL","TSHFOFL","TSHFRCE","TSHFCCE","TSHFFCE","TSXHFRFL","TSXHFFFL","TSXHFRCE","TSXHFCCE","TSXHFFCE","TR3","TR30","TR60","TR90","TR105","TR120","TR135","TR150","TR180","TR210","TR237","TF3","TF30","TF60","TF90","TF105","TF120","TF135","TF150","TF180","TF210","TF237"
 0.000E+00, 2.073E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.073E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00,-4.745E-06,-6.166E-06,-4.140E-05,-2.817E-06,-3.364E-06,-4.429E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01
 1.002E+01, 2.059E-01, 9.144E-04, 7.523E-11, 1.766E-11, 2.475E+01, 2.068E-01, 3.313E-04, 1.047E-11, 3.548E-12, 2.140E+01, 3.177E+01, 2.435E+01, 6.935E-06, 2.501E-06, 2.817E+00, 1.122E+00, 1.317E-01, 1.292E+00, 1.499E+00, 7.281E-01, 6.846E+01, 4.082E+01, 2.239E+01, 4.270E+01, 4.674E+01, 3.322E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.675E+01, 3.014E+01, 2.740E+01, 2.529E+01, 2.477E+01, 2.376E+01, 2.337E+01, 2.275E+01, 2.309E+01, 2.932E+01, 4.175E+01, 2.235E+01, 2.285E+01, 2.260E+01, 2.210E+01, 2.193E+01, 2.161E+01, 2.149E+01, 2.130E+01, 2.108E+01, 2.136E+01, 2.867E+01
 2.001E+01, 1.944E-01, 8.494E-03, 4.910E-08, 7.419E-09, 9.818E+01, 1.994E-01, 5.223E-03, 1.048E-10, 2.079E-11, 6.576E+01, 1.350E+02, 9.273E+01, 6.409E-05, 3.949E-05, 1.262E+01, 3.830E+00, 6.541E-01, 7.448E+00, 6.257E+00, 3.478E+00, 2.498E+02, 1.117E+02, 3.642E+01, 1.730E+02, 1.613E+02, 1.023E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 6.682E+01, 7.726E+01, 7.470E+01, 7.086E+01, 7.085E+01, 7.091E+01, 7.147E+01, 7.189E+01, 9.113E+01, 1.147E+02, 1.881E+02, 3.534E+01, 3.968E+01, 4.248E+01, 4.448E+01, 4.453E+01, 4.382E+01, 4.293E+01, 4.215E+01, 4.626E+01, 5.730E+01, 9.611E+01
 3.000E+01, 1.756E-01, 2.121E-02, 6.421E-06, 8.302E-07, 2.651E+02, 1.806E-01, 1.745E-02, 1.138E-08, 1.744E-09, 1.976E+02, 3.111E+02, 2.628E+02, 1.595E-04, 1.316E-04, 2.023E+01, 1.028E+01, 1.771E+00, 1.779E+01, 1.609E+01, 1.024E+01, 3.784E+02, 2.332E+02, 6.684E+01, 3.463E+02, 3.211E+02, 2.289E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 1.247E+02, 1.546E+02, 1.882E+02, 2.173E+02, 2.256E+02, 2.374E+02, 2.406E+02, 2.524E+02, 2.693E+02, 3.132E+02, 3.999E+02, 8.232E+01, 1.172E+02, 1.481E+02, 1.572E+02, 1.604E+02, 1.641E+02, 1.628E+02, 1.669E+02, 1.683E+02, 2.152E+02, 2.686E+02
 4.002E+01, 1.389E-01, 4.619E-02, 3.479E-06, 5.174E-07, 5.360E+02, 1.450E-01, 4.154E-02, 9.965E-07, 9.255E-08, 4.384E+02, 5.958E+02, 5.114E+02, 3.440E-04, 3.099E-04, 3.218E+01, 2.165E+01, 4.046E+00, 4.848E+01, 5.106E+01, 3.337E+01, 4.883E+02, 3.856E+02, 1.258E+02, 5.738E+02, 5.823E+02, 4.625E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.391E+02, 3.045E+02, 3.916E+02, 4.325E+02, 4.458E+02, 4.779E+02, 4.860E+02, 5.100E+02, 5.740E+02, 6.221E+02, 7.322E+02, 1.569E+02, 2.607E+02, 3.403E+02, 3.623E+02, 3.667E+02, 3.779E+02, 3.805E+02, 3.806E+02, 3.868E+02, 4.654E+02, 5.809E+02
 5.001E+01, 6.633E-02, 9.473E-02, 1.318E-03, 1.588E-04, 8.821E+02, 9.018E-02, 7.867E-02, 4.726E-06, 4.182E-07, 6.768E+02, 9.669E+02, 7.257E+02, 7.021E-04, 5.794E-04, 8.741E+01, 4.467E+01, 8.232E+00, 1.228E+02, 8.960E+01, 6.773E+01, 7.438E+02, 5.624E+02, 2.125E+02, 8.598E+02, 7.712E+02, 6.860E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 5.454E+02, 6.654E+02, 7.352E+02, 7.664E+02, 7.766E+02, 8.014E+02, 8.174E+02, 8.481E+02, 8.945E+02, 9.350E+02, 9.864E+02, 2.505E+02, 4.992E+02, 5.660E+02, 5.938E+02, 6.016E+02, 6.180E+02, 6.283E+02, 6.487E+02, 6.714E+02, 7.199E+02, 8.092E+02
 6.001E+01, 2.085E-02, 1.100E-01, 2.233E-02, 7.654E-03, 1.053E+03, 1.854E-02, 1.231E-01, 7.700E-03, 1.492E-03, 8.526E+02, 1.113E+03, 8.878E+02, 9.516E-04, 9.474E-04, 1.198E+02, 7.375E+01, 1.369E+01, 1.500E+02, 1.269E+02, 1.120E+02, 8.787E+02, 7.059E+02, 3.010E+02, 9.554E+02, 8.926E+02, 8.445E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 8.521E+02, 9.960E+02, 9.748E+02, 9.431E+02, 9.383E+02, 9.421E+02, 9.483E+02, 9.650E+02, 1.004E+03, 1.060E+03, 1.036E+03, 2.954E+02, 7.338E+02, 7.587E+02, 7.834E+02, 7.909E+02, 8.045E+02, 8.113E+02, 8.246E+02, 8.567E+02, 8.993E+02, 9.069E+02
 7.001E+01, 5.344E-02, 1.011E-01, 7.207E-03, 2.837E-03, 1.015E+03, 6.724E-03, 1.313E-01, 8.094E-03, 2.078E-03, 9.225E+02, 1.036E+03, 9.426E+02, 7.815E-04, 1.006E-03, 1.234E+02, 9.575E+01, 1.766E+01, 1.505E+02, 1.380E+02, 1.291E+02, 8.979E+02, 7.972E+02, 3.695E+02, 9.672E+02, 9.362E+02, 9.114E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 8.174E+02, 9.918E+02, 9.755E+02, 9.676E+02, 9.715E+02, 9.805E+02, 9.840E+02, 1.005E+03, 1.011E+03, 1.019E+03, 1.012E+03, 3.562E+02, 8.646E+02, 8.704E+02, 8.863E+02, 8.926E+02, 9.013E+02, 9.076E+02, 9.208E+02, 9.430E+02, 9.640E+02, 9.519E+02
 8.000E+01, 7.414E-03, 1.078E-01, 3.541E-02, 2.249E-02, 1.044E+03, 2.079E-04, 1.289E-01, 1.686E-02, 5.808E-03, 9.334E+02, 1.068E+03, 9.406E+02, 9.955E-04, 1.044E-03, 1.305E+02, 1.095E+02, 1.988E+01, 1.522E+02, 1.431E+02, 1.308E+02, 9.175E+02, 8.431E+02, 4.004E+02, 9.758E+02, 9.533E+02, 9.239E+02, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 7.802E+02, 9.364E+02, 1.016E+03, 1.016E+03, 1.014E+03, 1.004E+03, 1.003E+03, 1.005E+03, 1.001E+03, 9.988E+02, 9.968E+02, 4.134E+02, 8.896E+02, 9.072E+02, 9.159E+02, 9.236E+02, 9.266E+02, 9.300E+02, 9.439E+02, 9.523E+02, 9.501E+02, 9.440E+02
