s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0073139E+000, 1.6673714E-001, 1.6673714E-001, 1.0000000E+000
 2.0055452E+000, 9.2014581E-002, 9.2014581E-002, 1.0000000E+000
 3.0088866E+000, 8.1211008E-002, 8.1211008E-002, 1.0000000E+000
 4.0073915E+000, 7.7278430E-002, 7.7278430E-002, 1.0000000E+000
 5.0082154E+000, 7.5833888E-002, 7.5833888E-002, 1.0000000E+000
 6.0013905E+000, 7.5307490E-002, 7.5307490E-002, 1.0000000E+000
 7.0051466E+000, 7.5112215E-002, 7.5112215E-002, 1.0000000E+000
 8.0032049E+000, 7.5041183E-002, 7.5041183E-002, 1.0000000E+000
 9.0001088E+000, 7.4119820E-002, 7.4119820E-002, 1.0000000E+000
 1.0003395E+001, 7.2788533E-002, 7.2788533E-002, 1.0000000E+000
 1.1005781E+001, 6.9311730E-002, 6.9311730E-002, 1.0000000E+000
 1.2005191E+001, 6.2925464E-002, 6.2925464E-002, 1.0000000E+000
 1.3003823E+001, 5.5653234E-002, 5.5653234E-002, 1.0000000E+000
 1.4002344E+001, 5.2262620E-002, 5.2262620E-002, 1.0000000E+000
 1.5002893E+001, 5.3227186E-002, 5.3227186E-002, 1.0000000E+000
 1.6006360E+001, 6.0218036E-002, 6.0218036E-002, 1.0000000E+000
 1.7003979E+001, 5.4262094E-002, 5.4262094E-002, 1.0000000E+000
 1.8001876E+001, 4.6217204E-002, 4.6217204E-002, 1.0000000E+000
 1.9005285E+001, 3.4642444E-002, 3.4642444E-002, 1.0000000E+000
 2.0004242E+001, 2.8802984E-002, 2.8802984E-002, 1.0000000E+000
 2.1000586E+001, 2.6400065E-002, 2.6400065E-002, 1.0000000E+000
 2.2002372E+001, 2.5512645E-002, 2.5512645E-002, 1.0000000E+000
 2.3002462E+001, 2.5188073E-002, 2.5188073E-002, 1.0000000E+000
 2.4003438E+001, 2.5068936E-002, 2.5068936E-002, 1.0000000E+000
 2.5003281E+001, 2.5025298E-002, 2.5025298E-002, 1.0000000E+000
 2.6000539E+001, 2.5009308E-002, 2.5009308E-002, 1.0000000E+000
 2.7003760E+001, 2.5003405E-002, 2.5003405E-002, 1.0000000E+000
 2.8005133E+001, 2.5001248E-002, 2.5001248E-002, 1.0000000E+000
 2.9002350E+001, 2.5000459E-002, 2.5000459E-002, 1.0000000E+000
 3.0004340E+001, 2.5000168E-002, 2.5000168E-002, 1.0000000E+000
 3.1003182E+001, 2.5000062E-002, 2.5000062E-002, 1.0000000E+000
