s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m,C,m,C,m,C,m,C,m,C,m,C,m,C,m,C
Time,"TC 1-1","TC 1-2","TC 1-3","TC 1-4","TC 1-5","TC 1-6","TC 1-7","TC 1-8","TC 1-9","TC 2-1","TC 2-2","TC 2-3","TC 2-4","TC 2-5","TC 2-6","TC 3-1","TC 3-2","TC 3-3","TC 3-4","TC 3-5","TC 3-6","TC 3-7","TC 3-8","TC 3-9","TC 3-10","TC 4-1","TC 4-2","TC 4-3","TC 4-4","TC 4-5","TC 4-6","TC 4-7","TC 4-8","TC 4-9","TC 4-10","TC 5-1","TC 5-2","TC 5-3","TC 5-4","TC 5-5","TC 5-6","TC 5-7","TC 5-8","TC 5-9","TC 5-10","TC 6-1","TC 6-2","TC 6-3","TC 6-4","TC 6-5","TC 6-6","TC 6-7","TC 6-8","TC 7-1","TC 7-2","TC 7-3","TC 7-4","TC 7-5","TC 7-6","TC 7-7","TC 7-8","TC 8-1","TC 8-2","TC 8-3","TC 8-4","TC 8-5","TC 8-6","TC 8-7","TC 8-8","TC 8-9","TC 8-10","Layer Height 1","Layer Temp 1","Layer Height 2","Layer Temp 2","Layer Height 3","Layer Temp 3","Layer Height 4","Layer Temp 4","Layer Height 5","Layer Temp 5","Layer Height 6","Layer Temp 6","Layer Height 7","Layer Temp 7","Layer Height 8","Layer Temp 8"
 0.000E+00, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+00, 2.200E+01, 2.200E+00, 2.200E+01, 2.400E+00, 2.200E+01, 2.400E+00, 2.200E+01, 2.400E+00, 2.200E+01, 2.400E+00, 2.200E+01, 2.400E+00, 2.200E+01, 2.400E+00, 2.200E+01
 1.501E+01, 2.330E+01, 2.356E+01, 2.348E+01, 2.497E+01, 4.697E+01, 7.386E+01, 7.857E+01, 7.991E+01, 8.212E+01, 2.298E+01, 2.294E+01, 2.264E+01, 2.366E+01, 3.575E+01, 5.553E+01, 2.202E+01, 2.202E+01, 2.203E+01, 2.203E+01, 2.203E+01, 2.203E+01, 2.203E+01, 2.346E+01, 2.571E+01, 2.258E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 1.383E+00, 1.049E+02, 1.361E+00, 9.155E+01, 2.292E+00, 3.086E+01, 2.400E+00, 2.200E+01, 2.400E+00, 2.200E+01, 2.400E+00, 2.200E+01, 2.400E+00, 2.200E+01, 2.400E+00, 2.200E+01
 3.000E+01, 2.690E+01, 2.831E+01, 3.118E+01, 4.328E+01, 1.326E+02, 1.897E+02, 1.993E+02, 2.047E+02, 2.052E+02, 2.405E+01, 2.409E+01, 2.372E+01, 2.978E+01, 8.497E+01, 1.642E+02, 2.216E+01, 2.217E+01, 2.219E+01, 2.222E+01, 2.225E+01, 2.249E+01, 2.918E+01, 4.491E+01, 4.973E+01, 2.691E+01, 2.203E+01, 2.203E+01, 2.203E+01, 2.204E+01, 2.205E+01, 2.208E+01, 2.488E+01, 3.517E+01, 3.880E+01, 2.329E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.201E+01, 2.211E+01, 2.254E+01, 2.303E+01, 2.304E+01, 2.207E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.203E+01, 2.211E+01, 2.228E+01, 2.225E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.203E+01, 2.206E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 1.025E+00, 1.908E+02, 1.037E+00, 1.739E+02, 1.893E+00, 5.531E+01, 1.939E+00, 4.215E+01, 2.268E+00, 2.536E+01, 2.314E+00, 2.297E+01, 2.400E+00, 2.200E+01, 2.400E+00, 2.200E+01
 4.501E+01, 3.140E+01, 3.356E+01, 3.621E+01, 4.943E+01, 1.628E+02, 2.285E+02, 2.375E+02, 2.421E+02, 2.385E+02, 2.435E+01, 2.440E+01, 2.422E+01, 3.388E+01, 1.069E+02, 2.026E+02, 2.235E+01, 2.237E+01, 2.242E+01, 2.250E+01, 2.257E+01, 2.296E+01, 3.732E+01, 6.042E+01, 6.674E+01, 3.156E+01, 2.211E+01, 2.212E+01, 2.214E+01, 2.216E+01, 2.220E+01, 2.255E+01, 3.039E+01, 5.949E+01, 6.710E+01, 2.604E+01, 2.221E+01, 2.219E+01, 2.209E+01, 2.384E+01, 3.157E+01, 3.856E+01, 3.982E+01, 4.555E+01, 4.732E+01, 2.371E+01, 2.206E+01, 2.218E+01, 2.286E+01, 2.482E+01, 3.081E+01, 3.531E+01, 4.311E+01, 4.260E+01, 2.202E+01, 2.202E+01, 2.203E+01, 2.203E+01, 2.203E+01, 2.242E+01, 2.598E+01, 2.690E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 2.200E+01, 1.045E+00, 2.118E+02, 1.002E+00, 1.885E+02, 1.867E+00, 6.635E+01, 1.858E+00, 5.930E+01, 1.137E+00, 4.907E+01, 1.225E+00, 4.533E+01, 2.095E+00, 2.879E+01, 2.400E+00, 2.200E+01
 6.000E+01, 3.584E+01, 3.852E+01, 4.136E+01, 5.331E+01, 1.666E+02, 2.396E+02, 2.489E+02, 2.502E+02, 2.469E+02, 2.465E+01, 2.469E+01, 2.464E+01, 3.797E+01, 1.147E+02, 2.148E+02, 2.252E+01, 2.255E+01, 2.264E+01, 2.307E+01, 2.365E+01, 2.482E+01, 4.269E+01, 6.502E+01, 7.240E+01, 3.482E+01, 2.224E+01, 2.226E+01, 2.237E+01, 2.400E+01, 2.597E+01, 3.119E+01, 4.331E+01, 6.973E+01, 7.525E+01, 2.806E+01, 2.232E+01, 2.239E+01, 2.231E+01, 2.302E+01, 2.971E+01, 4.896E+01, 5.501E+01, 5.942E+01, 6.016E+01, 2.533E+01, 2.213E+01, 2.219E+01, 2.246E+01, 2.328E+01, 2.697E+01, 4.270E+01, 5.547E+01, 5.689E+01, 2.205E+01, 2.207E+01, 2.224E+01, 2.225E+01, 2.242E+01, 2.443E+01, 3.300E+01, 4.138E+01, 2.201E+01, 2.270E+01, 2.317E+01, 2.329E+01, 2.348E+01, 2.396E+01, 2.490E+01, 2.533E+01, 2.578E+01, 2.218E+01, 1.048E+00, 2.182E+02, 9.932E-01, 1.950E+02, 1.731E+00, 6.513E+01, 1.465E+00, 5.832E+01, 1.316E+00, 5.744E+01, 1.430E+00, 5.265E+01, 1.728E+00, 4.381E+01, 1.556E+00, 2.624E+01
 7.501E+01, 3.867E+01, 4.189E+01, 4.434E+01, 5.544E+01, 1.691E+02, 2.481E+02, 2.539E+02, 2.538E+02, 2.515E+02, 2.505E+01, 2.532E+01, 2.703E+01, 4.041E+01, 1.207E+02, 2.220E+02, 2.278E+01, 2.284E+01, 2.305E+01, 2.495E+01, 2.870E+01, 3.560E+01, 5.968E+01, 7.896E+01, 8.610E+01, 3.802E+01, 2.240E+01, 2.243E+01, 2.254E+01, 2.308E+01, 2.616E+01, 4.198E+01, 5.603E+01, 7.904E+01, 8.396E+01, 3.020E+01, 2.219E+01, 2.229E+01, 2.243E+01, 2.275E+01, 3.149E+01, 5.334E+01, 6.072E+01, 6.432E+01, 6.492E+01, 2.674E+01, 2.211E+01, 2.213E+01, 2.221E+01, 2.272E+01, 2.737E+01, 4.790E+01, 6.009E+01, 6.140E+01, 2.208E+01, 2.228E+01, 2.306E+01, 2.374E+01, 2.546E+01, 2.859E+01, 3.776E+01, 4.819E+01, 2.203E+01, 2.379E+01, 2.557E+01, 2.727E+01, 3.027E+01, 3.196E+01, 3.309E+01, 3.411E+01, 3.445E+01, 2.266E+01, 1.040E+00, 2.245E+02, 9.640E-01, 2.009E+02, 1.497E+00, 6.990E+01, 1.461E+00, 6.720E+01, 1.251E+00, 6.140E+01, 1.354E+00, 5.618E+01, 1.467E+00, 4.481E+01, 1.018E+00, 3.544E+01
 9.001E+01, 4.030E+01, 4.345E+01, 4.726E+01, 5.910E+01, 1.763E+02, 2.517E+02, 2.592E+02, 2.603E+02, 2.573E+02, 2.524E+01, 2.552E+01, 2.683E+01, 4.418E+01, 1.256E+02, 2.266E+02, 2.298E+01, 2.303E+01, 2.329E+01, 2.587E+01, 3.192E+01, 4.112E+01, 6.211E+01, 8.533E+01, 9.259E+01, 4.102E+01, 2.258E+01, 2.270E+01, 2.297E+01, 2.357E+01, 3.001E+01, 4.821E+01, 6.140E+01, 8.596E+01, 9.031E+01, 3.220E+01, 2.226E+01, 2.240E+01, 2.267E+01, 2.296E+01, 3.483E+01, 6.065E+01, 6.813E+01, 7.233E+01, 7.234E+01, 2.822E+01, 2.213E+01, 2.215E+01, 2.224E+01, 2.298E+01, 2.897E+01, 5.357E+01, 6.823E+01, 7.028E+01, 2.214E+01, 2.240E+01, 2.396E+01, 2.506E+01, 2.813E+01, 3.345E+01, 4.612E+01, 5.242E+01, 2.207E+01, 2.324E+01, 2.861E+01, 3.111E+01, 3.419E+01, 3.706E+01, 3.862E+01, 3.951E+01, 3.973E+01, 2.315E+01, 1.043E+00, 2.279E+02, 9.551E-01, 2.028E+02, 1.459E+00, 7.236E+01, 1.375E+00, 6.970E+01, 1.216E+00, 6.734E+01, 1.394E+00, 6.250E+01, 1.308E+00, 4.753E+01, 8.558E-01, 3.833E+01
 1.050E+02, 4.147E+01, 4.429E+01, 4.847E+01, 6.020E+01, 1.819E+02, 2.564E+02, 2.633E+02, 2.635E+02, 2.616E+02, 2.562E+01, 2.571E+01, 2.649E+01, 4.906E+01, 1.276E+02, 2.315E+02, 2.321E+01, 2.327E+01, 2.360E+01, 2.613E+01, 3.595E+01, 4.546E+01, 6.544E+01, 8.934E+01, 9.700E+01, 4.362E+01, 2.282E+01, 2.291E+01, 2.316E+01, 2.404E+01, 3.233E+01, 5.098E+01, 6.791E+01, 9.060E+01, 9.627E+01, 3.423E+01, 2.241E+01, 2.260E+01, 2.281E+01, 2.320E+01, 3.688E+01, 6.427E+01, 7.231E+01, 7.580E+01, 7.611E+01, 2.965E+01, 2.214E+01, 2.219E+01, 2.242E+01, 2.362E+01, 3.075E+01, 5.628E+01, 7.185E+01, 7.500E+01, 2.223E+01, 2.253E+01, 2.427E+01, 2.566E+01, 3.162E+01, 3.794E+01, 5.158E+01, 5.587E+01, 2.215E+01, 2.478E+01, 3.023E+01, 3.326E+01, 3.743E+01, 4.094E+01, 4.275E+01, 4.375E+01, 4.393E+01, 2.368E+01, 1.040E+00, 2.332E+02, 9.652E-01, 2.061E+02, 1.405E+00, 7.399E+01, 1.368E+00, 7.419E+01, 1.198E+00, 7.052E+01, 1.373E+00, 6.534E+01, 1.252E+00, 4.959E+01, 8.470E-01, 4.160E+01
 1.200E+02, 4.241E+01, 4.516E+01, 4.938E+01, 6.095E+01, 1.831E+02, 2.577E+02, 2.671E+02, 2.672E+02, 2.640E+02, 2.596E+01, 2.614E+01, 2.709E+01, 5.049E+01, 1.376E+02, 2.311E+02, 2.352E+01, 2.363E+01, 2.407E+01, 2.636E+01, 3.801E+01, 4.901E+01, 6.894E+01, 9.308E+01, 1.013E+02, 4.599E+01, 2.300E+01, 2.308E+01, 2.331E+01, 2.573E+01, 3.580E+01, 5.359E+01, 7.158E+01, 9.517E+01, 9.997E+01, 3.602E+01, 2.264E+01, 2.295E+01, 2.333E+01, 2.361E+01, 4.198E+01, 6.834E+01, 7.577E+01, 7.883E+01, 7.870E+01, 3.089E+01, 2.217E+01, 2.228E+01, 2.269E+01, 2.398E+01, 3.344E+01, 5.874E+01, 7.564E+01, 7.785E+01, 2.241E+01, 2.281E+01, 2.425E+01, 2.735E+01, 3.431E+01, 4.192E+01, 5.414E+01, 5.962E+01, 2.217E+01, 2.432E+01, 3.266E+01, 3.515E+01, 3.934E+01, 4.329E+01, 4.526E+01, 4.633E+01, 4.659E+01, 2.418E+01, 1.052E+00, 2.350E+02, 9.686E-01, 2.057E+02, 1.375E+00, 7.670E+01, 1.312E+00, 7.538E+01, 1.177E+00, 7.243E+01, 1.317E+00, 6.719E+01, 1.207E+00, 5.320E+01, 8.742E-01, 4.362E+01
